Category,Service,Pop-up Question(s),Answer(s),Estimated Time,Description,Service Active
Packages ,Gold Mainteanance Package - Premium Service,1. “Anything else the technician should know?”,,45-60 min,"Full vehicle diagnostic scan
Battery terminal cleaning
Cabin + engine air filter replacement (if needed)
Brake system deeper inspection (pads + rotors condition report)
Minor fluid top-offs included (washer fluid, coolant, etc.)
Priority booking + faster service",Y
Scheduled Maintenace ,5000 km,,,45–60 minutes,"Perform a routine inspection including oil level check, tire inspection, fluid checks, and general safety inspection at the 5,000 km interval.",Y
Scheduled Maintenace ,"10,000 km",,,60–75 minutes,"Perform manufacturer-recommended maintenance including oil change, tire inspection, cabin filter check, air filter check, fluid checks, and system inspection at the 10,000 km service interval.",Y
Scheduled Maintenace ,"15,000 km",,,60–90 minutes,"Perform a 15,000 km preventative maintenance service with a full multi-point inspection of key systems, including fluids, brakes, tires, and battery to ensure optimal performance and safety. Air and cabin filters are inspected and replaced if needed based on their condition.",Y
Scheduled Maintenace ,"20,000 km",,,75–90 minutes,"Perform scheduled maintenance including fluid checks, tire inspection, and system diagnostics at the 20,000 km interval.",Y
Scheduled Maintenace ,"25,000 km",,,60–90 minutes,"Carry out preventative maintenance tasks and vehicle system inspections recommended at 25,000 km.",Y
Scheduled Maintenace ,"30,000 km",,,90–120 minutes,"Perform manufacturer-recommended maintenance including filter inspection, fluid checks, and component inspection at the 30,000 km milestone.",Y
Scheduled Maintenace ,"35,000 km",,,60–90 minutes,"Conduct routine maintenance and system checks recommended at the 35,000 km interval.",Y
Scheduled Maintenace ,"40,000 km",,,90–120 minutes,"Perform a comprehensive 40,000 km scheduled service including full fluid, brake, and tire inspections to maintain performance and safety. Service includes engine oil change, brake fluid, transmission and differential fluid changes, tire rotation, washer fluid top-up, and air & cabin filter replacement.",Y
Scheduled Maintenace ,"45,000 km",,,75–105 minutes,"Perform routine inspection and preventative maintenance tasks recommended at 45,000 km.",Y
Scheduled Maintenace ,"50,000 km",,,120–180 minutes,"Perform a comprehensive maintenance service including inspection of engine components, brakes, suspension, and fluids at 50,000 km.",Y
Scheduled Maintenace ,"55,000 km",,,75–105 minutes,"Perform a comprehensive maintenance service including inspection of engine components, brakes, suspension, and fluids at 55,000 km.",Y
Scheduled Maintenace ,"60,000 km",,,120–180 minutes,"Perform major scheduled maintenance including component inspection, fluid replacement, and preventative servicing recommended at 60,000 km.",Y
Scheduled Maintenace ,"65,000 km",,,75–105 minutes,"Performs routine vehicle inspection and maintenance at 65,000 km including fluid level checks, tire inspection, and basic system evaluations.",Y
Scheduled Maintenace ,"70,000 km",,,90–120 minutes,"Performs scheduled maintenance at 70,000 km including inspection of brakes, suspension components, belts, hoses, and engine performance systems.",Y
Scheduled Maintenace ,"75,000 km",,,90–150 minutes,"Performs manufacturer-recommended maintenance at 75,000 km including oil service, fluid checks, and inspection of critical vehicle systems.",Y
Scheduled Maintenace ,"80,000 km",,,120–180 minutes,"Perform a comprehensive 80,000 km scheduled maintenance including inspection of engine components, brakes, belts, hoses, filters, and all fluid conditions to ensure long-term reliability. Service includes engine oil change, brake, transmission, and differential fluid changes, tire rotation, washer fluid top-up, and air & cabin filter replacement.",Y
Scheduled Maintenace ,"85,000 km",,,90–120 minutes,"Performs routine maintenance and inspection at 85,000 km to ensure engine, braking, and electrical systems continue operating properly.",Y
Scheduled Maintenace ,"90,000 km",,,120–180 minutes,"Performs comprehensive 90,000 km maintenance including inspection of drivetrain, suspension, fluids, filters, and major engine components.",Y
Scheduled Maintenace ,"95,000 km",,,90–120 minutes,"Performs routine service at 95,000 km including inspection of vehicle safety systems, fluid levels, and wear components.",Y
Scheduled Maintenace ,"100,000 km",,,150–210 minutes,"Performs major manufacturer-recommended maintenance at 100,000 km including inspection or replacement of key components such as spark plugs, filters, fluids, and belts where required.",Y
Scheduled Maintenace ,"105,000 km",,,90–120 minutes,"Performs scheduled vehicle maintenance at 105,000 km including system inspections, fluid checks, and replacement of minor service items.",Y
Scheduled Maintenace ,"110,000 km",,,120–180 minutes,"Performs preventative maintenance at 110,000 km including inspection of braking, steering, cooling, and engine systems.",Y
Scheduled Maintenace ,"115,000 km",,,90–120 minutes,"Performs routine service at 115,000 km including fluid level inspection, safety checks, and evaluation of wear components.",Y
Scheduled Maintenace ,"120,000 km",,,150–210 minutes,"Perform a major 120,000 km maintenance service including inspection of timing components, drivetrain, cooling system, and engine performance systems to ensure peak reliability. Service includes engine oil change, brake, transmission, and differential fluid changes, tire rotation, washer fluid top-up, and air & cabin filter replacement.",Y
Scheduled Maintenace ,"125,000 km",,,90–120 minutes,"Performs routine vehicle maintenance at 125,000 km including fluid checks, brake inspection, and engine performance evaluation.",Y
Scheduled Maintenace ,"130,000 km",,,120–180 minutes,"Performs preventative maintenance service at 130,000 km including inspection of suspension, steering, engine, and electrical systems.",Y
Scheduled Maintenace ,"135,000 km",,,120–180 minutes,"Performs routine service at 135,000 km including system diagnostics, safety checks, and fluid inspections.",Y
Scheduled Maintenace ,"140,000 km",,,90–120 minutes,"Performs scheduled maintenance at 140,000 km including inspection of belts, hoses, brakes, suspension components, and fluid conditions.",Y
Scheduled Maintenace ,"145,000 km",,,90–120 minutes,"Performs preventative maintenance at 145,000 km including inspection of engine performance systems and vehicle safety components.",Y
Scheduled Maintenace ,"150,000 km",,,90–120 minutes,"Performs major maintenance service at 150,000 km including inspection and possible replacement of key drivetrain, ignition, and fluid components.",Y
Scheduled Maintenace ,"155,000 km",,,90–120 minutes,"Performs routine inspection and maintenance at 155,000 km including fluid checks and evaluation of wear items.",Y
Scheduled Maintenace ,"160,000 km",,,90–120 minutes,"Perform a comprehensive 160,000 km scheduled maintenance including inspection of engine, cooling, suspension, and braking systems to ensure continued performance and safety. Service includes engine oil change, brake, transmission, and differential fluid changes, tire rotation, washer fluid top-up, and air & cabin filter replacement.",Y
Scheduled Maintenace ,"165,000 km",,,90–120 minutes,"Performs preventative maintenance service at 165,000 km including safety inspections and fluid system evaluations.",Y
Scheduled Maintenace ,"170,000 km",,,90–120 minutes,"Performs routine vehicle maintenance at 170,000 km including inspection of belts, hoses, filters, and brake components.",Y
Scheduled Maintenace ,"175,000 km",,,90–120 minutes,"Performs scheduled inspection and maintenance at 175,000 km including checks of major vehicle systems.",Y
Scheduled Maintenace ,"180,000 km",,,90–120 minutes,"Performs major maintenance at 180,000 km including detailed inspection of drivetrain, engine performance components, and cooling systems.",Y
Scheduled Maintenace ,"185,000 km",,,90–120 minutes,"Performs preventative service at 185,000 km including fluid inspection, safety checks, and system diagnostics.",Y
Scheduled Maintenace ,"190,000 km",,,90–120 minutes,"Performs routine maintenance and inspection at 190,000 km to ensure continued vehicle reliability.",Y
Scheduled Maintenace ,"195,000 km",,,90–120 minutes,"Performs scheduled service at 195,000 km including inspection of engine, braking, electrical, and suspension systems.",Y
Scheduled Maintenace ,"200,000 km",,,90–120 minutes,"Performs major high-mileage service at 200,000 km including inspection of critical engine components, drivetrain systems, and fluid replacements where necessary.",Y
Scheduled Maintenace ,"205,000 km",,,90–120 minutes,"Performs routine maintenance at 205,000 km including system inspections and fluid checks.",Y
Scheduled Maintenace ,"210,000 km",,,90–120 minutes,"Performs preventative maintenance service at 210,000 km including evaluation of engine performance and safety systems.",Y
Scheduled Maintenace ,"215,000 km",,,90–120 minutes,"Performs routine vehicle maintenance at 215,000 km including inspection of key wear components and fluid systems.",Y
Scheduled Maintenace ,"220,000 km",,,90–120 minutes,"Performs scheduled maintenance at 220,000 km including inspection of drivetrain, suspension, and cooling system components.",Y
Scheduled Maintenace ,"225,000 km",,,90–120 minutes,"Performs preventative maintenance at 225,000 km including system diagnostics, fluid checks, and safety inspections.",Y
Scheduled Maintenace ,"230,000 km",,,90–120 minutes,"Performs high-mileage maintenance at 230,000 km including inspection of major vehicle systems to ensure continued safe operation.",Y
Scheduled Maintenace ,"235,000 km",,,90–120 minutes,"Performs high-mileage preventative maintenance at 235,000 km including inspection of engine performance, drivetrain components, fluids, and safety systems.",Y
Scheduled Maintenace ,"240,000 km",,,90–120 minutes,"Perform a comprehensive 240,000 km scheduled maintenance including inspection of cooling, braking, suspension, and engine components to ensure long-term reliability. Service includes engine oil change, brake, transmission, and differential fluid changes, tire rotation, washer fluid top-up, and air & cabin filter replacement.",Y
Scheduled Maintenace ,"245,000 km",,,90–120 minutes,"Performs routine high-mileage service at 245,000 km including fluid inspections, safety checks, and evaluation of wear components.",Y
Scheduled Maintenace ,"250,000 km",,,90–120 minutes,"Performs major high-mileage maintenance at 250,000 km including inspection of drivetrain systems, engine components, belts, hoses, and fluid conditions.",Y
Scheduled Maintenace ,"255,000 km",,,90–120 minutes,"Performs preventative maintenance at 255,000 km including system diagnostics, brake inspection, and fluid level checks.",Y
Scheduled Maintenace ,"260,000 km",,,90–120 minutes,"Performs scheduled service at 260,000 km including inspection of suspension, steering, engine performance systems, and cooling components.",Y
Scheduled Maintenace ,"265,000 km",,,90–120 minutes,"Performs routine maintenance at 265,000 km including inspection of safety systems, fluid conditions, and high-wear engine components.",Y
Scheduled Maintenace ,"270,000 km",,,90–120 minutes,"Performs preventative high-mileage service at 270,000 km including inspection of drivetrain components, engine systems, and braking systems.",Y
Scheduled Maintenace ,"275,000 km",,,90–120 minutes,"Performs scheduled maintenance at 275,000 km including system diagnostics, fluid inspections, and evaluation of major vehicle systems.",Y
Scheduled Maintenace ,"280,000 km",,,90–120 minutes,"Perform a comprehensive 280,000 km high-mileage maintenance including inspection of engine performance components, cooling systems, and suspension to ensure continued reliability. Service includes engine oil change, brake, transmission, and differential fluid changes, tire rotation, washer fluid top-up, and air & cabin filter replacement.",Y
Scheduled Maintenace ,"285,000 km",,,90–120 minutes,"Performs routine preventative service at 285,000 km including inspection of fluid systems, brakes, and vehicle safety components.",Y
Scheduled Maintenace ,"290,000 km",,,90–120 minutes,"Performs scheduled service at 290,000 km including inspection of drivetrain systems, belts, hoses, and electrical components.",Y
Scheduled Maintenace ,295.000 km,,,90–120 minutes,"Performs preventative maintenance at 295,000 km including system inspections, fluid evaluations, and safety checks.",Y
Scheduled Maintenace ,"300,000 km",,,90–120 minutes,"Performs major high-mileage service at 300,000 km including a comprehensive inspection of engine, drivetrain, suspension, braking, and cooling systems to ensure continued safe operation.",Y
Diagonsis & Testiing ,Check Engine Light On,1. Is the light flashing or solid?,"1.1 Flashing 
1.2 Solid ",30–60 min,Perform a diagnostic scan and inspection to identify the cause of the check engine light and recommend next steps.,Y
,,2. Is the vehicle drivable?,"2.1  Yes
2.2  No",,,
,,3. Any loss of power?,"3.1  Yes
3.2  No",,,
,,4. Is the car vibrating,"4.1  Yes
4.2  No",,,
,,5. Is there any noise,"5.1  Yes
5.2  No
5.3  Add any comments",,,
Diagonsis & Testiing ,Car Won’t Start (No Sound or Clicking),1. Does the dashboard/ignition turn on?,"1.1  Yes
1.2  No",30–60 minutes,"Diagnose starting system issues including battery, starter, and electrical faults preventing the engine from turning over.",Y
,,2. Do you hear any clicking or cranking?,"2.1  Yes
2.2  No",,,
,,3. Any fluid leaks,"3.1  Yes
3.2  No
3.3  Add any comments",,,
Diagonsis & Testiing ,Car Shaking or Vibrating,1. When does it happen?,"1.1  Idle
1.2  Driving
1.3  Braking",45–75 min,"Inspect tires, suspension, and engine components to identify the source of vibrations and restore smooth driving.",Y
,,2. Where is it felt?,"2.1  Steering
2.2  Seat
2.3  Whole car
2.4  Add any comments",,,
Diagonsis & Testiing ,Brake Noise (Squeaking or Grinding),1. What type of noise?,"1.1  Squeaking
1.2  Grinding",30–60 min,"Inspect brake pads, rotors, and hardware to diagnose noise and ensure safe braking performance.",Y
,,2. When do you hear it?,"2.1  Light braking
2.2  Hard braking
2.3  Constant",,,
,,3. Is the brake light on the dashboard,"3.1  Yes
3.2  No
3.3  Add any comments",,,
Diagonsis & Testiing ,Car Overheating,1. Is the temperature gauge high?,"1.1  Yes
1.2  No",45–75 minutes,"Diagnose cooling system issues including leaks, thermostat, or radiator problems to prevent engine damage.",Y
,,2. Any coolant leaks or low levels?,"2.1  Yes
2.2  No
2.3  Unsure
2.4  Add any comments",,,
Diagonsis & Testiing ,"Strange Noises (Clicking, Knocking)",1. What type of noise?,"1.1  Clicking
1.2  Knocking
1.3  Other",45–75 min,"Identify abnormal noises from engine, suspension, or drivetrain components to prevent further damage.",Y
,,2. When do you hear it?,"2.1  Startup
2.2  Driving
2.3  Turning
2.4  Add any comments",,,
Diagonsis & Testiing ,Not Sure What’s Wrong (Full Diagnosis),1. What symptoms are you noticing? (Short text or select),Optional,60–120 min,Perform a comprehensive multi-point inspection and diagnostic scan to identify any underlying issues.,Y
,,2. Is the car drivable?,"2.1  Yes
2.2  No
2.3  Add any comments",,,
Diagonsis & Testiing ,Tire Pressure Light On (TPMS),1. Do you have a flat tire?,"1.1  Yes
1.2  No
1.3  Add any comments",15–30 min,Check tire pressures and TPMS sensors to ensure proper inflation and system accuracy.,Y
Diagonsis & Testiing ,AC Not Working (No Cold Air),1. Is there any airflow from vents?,"1.1  Yes
1.2  No",45–75 min,"Diagnose AC system issues including refrigerant levels, compressor function, and airflow problems.",Y
,,2. Is the air warm or slightly cool?,2.2  Add any comments,,,
Diagonsis & Testiing ,Heater Not Working ,1. Is there any airflow from vents?,"1.1  Yes
1.2  No",45–75 min,"Diagnose and repair heating system issues by checking airflow from vents, assessing air temperature, 
and identifying any underlying problems to restore proper cabin heating and comfort.",Y
,,2. Is the air warm or slightly cool?,2.2  Add any comments,,,
Diagonsis & Testiing ,Oil or Fluid Leak,1. Where do you see the leak?,"1.1  Front
1.2  Middle
1.3  Rear",45–90 min,Identify the source of leaks and recommend repairs to prevent damage and fluid loss.,Y
,,2. What color is the fluid?,"2.1  Dark
2.2  Brown
2.3  Green
2.4  Clear
2.5  Unsure
2.6  Add any comments",,,
Diagonsis & Testiing ,Steering Issues (Pulling or Hard to Turn),1. Is the car pulling to one side?,"1.1  Yes
1.2  No",45–75 min,Inspect steering and suspension components to resolve handling issues and ensure safe control.,Y
,,2. Is steering stiff or noisy?,"2.1  Yes
2.2  No
2.3  Add any comments",,,
Diagonsis & Testiing ,Burning Smell from Car,1. What kind of smell?,"1.1  Rubber
1.2  Oil
1.3  Electrical",45–75 min,Identify the source of burning smells to prevent potential mechanical or electrical failures.,Y
,,2. When do you notice it?,"2.1  Driving
2.2  Idle
2.3  After driving
2.4  Add any comments",,,
Diagonsis & Testiing ,"Excessive Smoke (White, Blue, Black)",1. What color is the smoke?,"1.1  White
1.2  Blue
1.3  Black",45–90 min,Diagnose engine or exhaust issues based on smoke color to prevent serious engine damage.,Y
,,2. When does it occur?,"2.1  Startup
2.2  Driving
2.3  Acceleration
2.4  Add any comments",,,
Diagonsis & Testiing ,Car Stalling While Driving,1. When does it stall?,"1.1  Idle
1.2  Driving
1.3  Stopping",60–90 min,"Diagnose fuel, air, or electrical system issues causing the vehicle to stall unexpectedly.",Y
,,2. Does it restart easily?,"2.1  Yes
2.2  No
2.3  Add any comments",,,
Brakes ,Brake Service  - Brake Pads & Rotors Replacement (Combined) ,1. Which axle?,"1.1  Front
1.2  Rear
1.3  Both",60–120 min,Replace both pads and rotors together for complete brake system restoration and optimal performance.,Y
,,2. Any noise or vibration?,"2.1  Yes
2.2  No",,,
Brakes ,Brake Shoes Replacement (Rear),1. Is this for rear drum brakes?,"1.1  Yes
1.2  No
1.3  Unsure",60–90 min,Replace rear brake shoes to restore proper braking function in drum brake systems.,Y
,,2. Any weak parking brake?,"2.1  Yes
2.2  No",,,
Brakes ,Brake System Flush,1. When was last brake fluid service? (Approximate),,30–60 min,Flush and replace old brake fluid to maintain braking performance and protect system components.,Y
,,2. Any soft or spongy brake pedal?,"2.1  Yes
2.2  No
2.3  Unsure",,,
Brakes ,Parking Brake Service / Adjustment,1. Is the parking brake loose or not holding?,"1.1  Yes
1.2  No",30–60 min,Adjust or service the parking brake system to ensure proper hold and safety when parked.,Y
,,2. Does it need adjustment or full service?,"2.1  Unsure
2.2  Adjust",,,
Brakes ,Brake Fluid Top-Up / Minor Brake Maintenance,1. Is the brake fluid low?,"1.1  Yes
1.2  No
1.3  Unsure",10–20 min,Top up brake fluid and perform minor checks to maintain safe braking operation.,Y
,,2. Any warning lights on?,"2.1  Yes
2.2  No",,,
Brakes ,General Brake Service / Inspection,1. Any issues noticed?,"1.1  Noise
1.2  Weak braking
1.3  None",30–60 min,"Inspect the full brake system to identify wear, safety issues, and recommended repairs.",Y
,,2. When was last brake service? (Approximate),,,,
Brakes ,Brake Caliper Replacement,1. Is one wheel sticking or overheating?,"1.1  Yes
1.2  No",60–120 min,Replace faulty brake calipers to restore proper braking pressure and prevent uneven wear.,Y
,,2. Any uneven braking?,"2.1  Yes
2.2  No",,,
,,3. Which wheel needs service?,"3.2  Front Left
3.3  Front Right
3.4  Rear Left
3.5  Rear Right
3.6  Not sure",,,
Brakes ,Brake Master Cylinder Replacement,1. Is the brake pedal soft or sinking?,"1.1  Yes
1.2  No",90–150 min,Replace the master cylinder to restore proper hydraulic pressure across the braking system.,Y
,,2. Any brake fluid leaks?,"2.1  Yes
2.2  No",,,
Brakes ,Brake Booster Replacement,1. Is the brake pedal hard to press?,"1.1  Yes
1.2  No",90–150 min,Replace the brake booster to restore assisted braking and reduce pedal effort.,Y
,,2. Any hissing noise when braking?,"2.1  Yes
2.2  No",,,
Brakes ,Brake Lines / Hose Repair,1. Any visible leaks under the car?,"1.1  Yes
1.2  No",60–120 min,Repair or replace damaged brake lines or hoses to ensure safe and leak-free braking.,Y
,,2. Brake warning light on?,"2.1  Yes
2.2  No",,,
,,3. How does your brake pedal feel when you press it?,"3.2  Normal
3.3  Soft or spongy
3.4  Goes very low / close to the floor",,,
Brakes ,Wheel Hub Assembly Replacement/Wheel Hub Bearing ,1. Any humming or grinding noise while driving?,"1.1  Yes
1.2  No",60–120 min,Replace worn wheel hub assembly to eliminate noise and ensure proper wheel rotation and safety.,Y
,,2. Does noise change with speed?,"2.1  Yes
2.2  No",,,
,,3. Which wheel is the issue coming from?,"3.2  Front Left
3.3  Front Right
3.4  Rear Left
3.5  Rear Right
3.6  Not sure",,,
Brakes ,ABS System Reset / ABS Sensor Replacement,1. Is the ABS light on?,"1.1  Yes
1.2  No",45–90 min,Diagnose and repair ABS system issues to restore anti-lock braking functionality and safety.,Y
Car Buying ,Pre Purchase Car Inspection,1. Where is the vehicle located?,"1.2  Seller’s home
1.3  Dealership
1.4  Other",1-2 hours,"Inspect a vehicle before purchase to identify mechanical issues, accident damage, or maintenance concerns.",Y
,,2. Has the car been driven recently?,"2.2  Yes
2.3  No
2.4  Not sure",,,
,,3. Anything specific you want us to focus on?,"3.2  Engine
3.3  Brakes
3.4  Body / accident damage
3.5  Full inspection
3.6  Not sure",,,
Car Buying ,Used Car Inspection,1. What’s the main reason for the inspection?,"1.2  General check-up
1.3  Issue diagnosis
1.4  Preparing for sale
1.5  Not sure",1-2 hours,Perform a comprehensive inspection of a used vehicle to identify mechanical issues and estimate repair needs.,Y
,,2. Any known issues with the vehicle?,"2.1  Yes
2.2  No
2.3  Not sure",,,
,,3. Would you like a repair estimate included?,"3.1  Yes
3.2  No",,,
Electrical & Lights ,Car Won’t Start (Battery / Starter Issue),1. Do you hear clicking or cranking?,"1.1  Yes
1.2  No",30–60 min,"Diagnose no-start issues related to the battery, starter, or electrical system and recommend the fix.",Y
,,2. Do dashboard lights turn on?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Car Battery Dead / Needs Boost,1. Is the car completely dead?,"1.1  Yes
1.2  No",15–30 min,Provide a battery boost to get your vehicle started and check for underlying issues.,Y
,,2. Do you need a jump-start now?,"2.1  Yes
2.2  No",,,
,,3. Does the car stay running after disconnecting the jump-start?,"3.1  Yes
3.2  No",,,
Electrical & Lights ,Battery Replacement,1. Do you already have a battery?,"1.1  Yes
1.2  No",20–30 min,Replace your vehicle battery to restore reliable starting and electrical performance.,Y
,,2. Is the current battery completely dead?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Battery Keeps Dying (Charging System Check),1. How often does the battery die?,"1.1  Once
1.2  Repeatedly",30–60 min,Test the charging system to identify battery drain or alternator-related issues.,Y
,,2. Are there any warning lights on?,"2.1  Yes
2.2  No",,,
,,3. Are there any aftermarket accessories plugged into the vehicle?,"3.1  Yes
3.2  No",,,
Electrical & Lights ,Car Not Charging (Alternator Issue),1. Is the battery light on?,"1.1  Yes
1.2  No",45–75 min,Diagnose alternator and charging system faults to restore proper battery charging.,Y
,,2. Does the car die while driving?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Alternator / Charging System Service,1. Any dim lights or electrical issues?,"1.1  Yes
1.2  No",60–120 min,Service or replace alternator components to ensure consistent power supply.,Y
,,2. Battery recently replaced?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Starter Replacement,1. Do you hear a clicking sound?,"1.1  Yes
1.2  No",60–120 min,Replace a faulty starter motor to restore proper engine starting.,Y
,,2. Engine not cranking at all?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,"Lights Not Working (Headlights, Brake Lights, Signals)",1. Which lights are out?,"1.1  Headlights
1.2  Brake
1.3  Signals",15–45 min,Diagnose and repair lighting issues to ensure visibility and road safety.,Y
,,2. Fully out or intermittent?,,,,
Electrical & Lights ,Dashboard Warning Lights On,1. Which light is on?,"1.1  Battery
1.2  Engine
1.3  ABS
1.4  Other",30–60 min,Scan and diagnose dashboard warning lights to identify system faults.,Y
,,2. Is the car driving normally?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Wipers Not Working (Blades / Motor / Pump),1. Are wipers not moving or just ineffective?,,30–60 min,Diagnose and repair wiper system issues for clear visibility in all conditions.,Y
,,2. Washer fluid spraying?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Power Locks Not Working,1. All doors or just one?,,45–75 min,Diagnose and repair door lock system faults for proper vehicle security.,Y
,,2. Using key fob or interior switch?,2.2  Add comment,,,
Electrical & Lights ,Backup Camera / Sensors Not Working,1. Camera not showing or sensors not beeping?,,45–90 min,Diagnose and repair parking camera or sensor issues for safe reversing.,Y
,,2. Any recent impact or damage?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Electrical Issue Diagnosis,1. What issue are you experiencing?,"1.1  Short input
1.2  select",60–120 min,Perform a full electrical system diagnosis to locate faults and recommend repairs.,Y
